category,rating,reviews,size,price,content_rating,last_updated_on,release_version,os_version_required,downloads
Finance,4.18,1481,Varies with device,Free,Everyone,May 05 2020,Varies with device,Varies with device,"100,000+"
Music And Audio,4.81,302,10M,Free,Everyone,Mar 26 2020,3.9.18,4.1 and up,"5,000+"
Game Casual,4.27,374,27M,Free,Everyone,May 01 2020,1.10.1,4.1 and up,"10,000+"
Business,4.03,122058,Varies with device,Free,Teen,May 02 2020,Varies with device,Varies with device,"10,000,000+"
Medical,4.6,358,Varies with device,297.5742,Everyone,Nov 29 2018,Varies with device,Varies with device,"5,000+"
Books And Reference,4.8,40,2.3M,Free,Everyone,Feb 05 2019,3,4.1 and up,"10,000+"
Finance,4.6,1992,24M,Free,Everyone,Jul 25 2019,3000.5.3532,5.0 and up,"50,000+"
Tools,4.62,37975,20M,Free,Everyone,May 05 2020,1.28.1,4.4 and up,"1,000,000+"
Finance,3.2,191,10M,Free,Everyone,Mar 01 2019,4.5.6,4.0 and up,"10,000+"
Game,4.1,349503,19M,Free,Everyone,Sep 29 2016,1.31,4.0 and up,"10,000,000+"
Travel And Local,3.8,144,8.7M,Free,Everyone,Nov 06 2015,5.0,2.3.3 and up,"10,000+"
Family,4.3,6333,30M,Free,Everyone,Jun 29 2019,1.1.12,5.0 and up,"1,000,000+"
Music And Audio,3.25,8,11M,Free,Everyone,Nov 14 2019,1,4.0.3 and up,"5,000+"
Travel And Local,4.48,98490,Varies with device,Free,Everyone,May 01 2020,Varies with device,Varies with device,"5,000,000+"
Books And Reference,4.57,28,3.7M,Free,Everyone,Sep 04 2019,1.1,4.0 and up,"10,000+"
Game Simulation,4.6,99,79M,222.9942,Everyone,Feb 03 2019,1.4,4.2 and up,"10,000+"
Lifestyle,4.3,665,3.0M,Free,Everyone,Sep 08 2019,2.0,2.3 and up,"500,000+"
Comics,4.2,15194,15M,Free,Teen,Aug 23 2019,4.7.3,4.2 and up,"1,000,000+"
Education,4.56,133,14M,Free,Everyone,Apr 18 2020,V12.7.2-c67bf9488,4.4 and up,"10,000+"
Entertainment,4.39,147,49M,Free,Everyone,Jan 27 2020,2.6,4.1 and up,"10,000+"
Medical,3.17,12,1.5M,Free,Everyone,Mar 27 2020,1.0.1,4.3 and up,"1,000+"
Game Action,4.08,66,44M,Free,Teen,Mar 05 2020,Varies with device,4.0 and up,"50,000+"
Books And Reference,4.32,300,8.2M,Free,Everyone,Jan 06 2020,6,4.0.3 and up,"100,000+"
Entertainment,4.32,22503,6.7M,Free,Everyone 10+,May 04 2020,8.0.5,4.1 and up,"1,000,000+"
Lifestyle,3.2,16168,55M,Free,Everyone,Aug 30 2019,2.2.9,4.0.3 and up,"1,000,000+"
Social,4.1,78128208,Varies with device,Free,Teen,Sep 07 2019,Varies with device,Varies with device,"1,000,000,000+"
Sports,3.5,50179,23M,Free,Everyone,Sep 06 2019,2.5.7.1,5.0 and up,"1,000,000+"
Photography,4.3,1955,Varies with device,Free,Everyone,Jun 20 2019,Varies with device,Varies with device,"100,000+"
Game Word,4.44,10385,42M,Free,Everyone,Mar 03 2020,1.0.71,3.0 and up,"1,000,000+"
Game Trivia,4.53,122,Varies with device,111.1242,Everyone,Jan 22 2020,Varies with device,Varies with device,"1,000+"
Business,4.83,198,3.6M,Free,Everyone,May 01 2020,1.3,4.1 and up,"1,000+"
Education,4.51,1631,2.0M,Free,Everyone,Oct 26 2019,1.7.3,4.1 and up,"100,000+"
Communication,4.14,141,3.6M,Free,Everyone,Mar 10 2020,5,4.1 and up,"10,000+"
News And Magazines,4.0,7006,23M,Free,Everyone,Sep 04 2019,5.6.40,4.0 and up,"1,000,000+"
