category,rating,reviews,content_rating,last_updated_on,price_transformed,size_transformed,release_transformed,os_transformed,downloads
Finance,4.18,1481,Everyone,2020-05-05,0.0,,,,"100,000+"
Music And Audio,4.81,302,Everyone,2020-03-26,0.0,10M,3.9.18,4.1 and up,"5,000+"
Game Casual,4.27,374,Everyone,2020-05-01,0.0,27M,1.10.1,4.1 and up,"10,000+"
Business,4.03,122058,Teen,2020-05-02,0.0,,,,"10,000,000+"
Medical,4.6,358,Everyone,2018-11-29,297.5742,,,,"5,000+"
Books And Reference,4.8,40,Everyone,2019-02-05,0.0,2.3M,3,4.1 and up,"10,000+"
Finance,4.6,1992,Everyone,2019-07-25,0.0,24M,3000.5.3532,5.0 and up,"50,000+"
Tools,4.62,37975,Everyone,2020-05-05,0.0,20M,1.28.1,4.4 and up,"1,000,000+"
Finance,3.2,191,Everyone,2019-03-01,0.0,10M,4.5.6,4.0 and up,"10,000+"
Game,4.1,349503,Everyone,2016-09-29,0.0,19M,1.31,4.0 and up,"10,000,000+"
Travel And Local,3.8,144,Everyone,2015-11-06,0.0,8.7M,5.0,2.3.3 and up,"10,000+"
Family,4.3,6333,Everyone,2019-06-29,0.0,30M,1.1.12,5.0 and up,"1,000,000+"
Music And Audio,3.25,8,Everyone,2019-11-14,0.0,11M,1,4.0.3 and up,"5,000+"
Travel And Local,4.48,98490,Everyone,2020-05-01,0.0,,,,"5,000,000+"
Books And Reference,4.57,28,Everyone,2019-09-04,0.0,3.7M,1.1,4.0 and up,"10,000+"
Game Simulation,4.6,99,Everyone,2019-02-03,222.9942,79M,1.4,4.2 and up,"10,000+"
Lifestyle,4.3,665,Everyone,2019-09-08,0.0,3.0M,2.0,2.3 and up,"500,000+"
Comics,4.2,15194,Teen,2019-08-23,0.0,15M,4.7.3,4.2 and up,"1,000,000+"
Education,4.56,133,Everyone,2020-04-18,0.0,14M,V12.7.2-c67bf9488,4.4 and up,"10,000+"
Entertainment,4.39,147,Everyone,2020-01-27,0.0,49M,2.6,4.1 and up,"10,000+"
Medical,3.17,12,Everyone,2020-03-27,0.0,1.5M,1.0.1,4.3 and up,"1,000+"
Game Action,4.08,66,Teen,2020-03-05,0.0,44M,,4.0 and up,"50,000+"
Books And Reference,4.32,300,Everyone,2020-01-06,0.0,8.2M,6,4.0.3 and up,"100,000+"
Entertainment,4.32,22503,Everyone 10+,2020-05-04,0.0,6.7M,8.0.5,4.1 and up,"1,000,000+"
Lifestyle,3.2,16168,Everyone,2019-08-30,0.0,55M,2.2.9,4.0.3 and up,"1,000,000+"
Social,4.1,78128208,Teen,2019-09-07,0.0,,,,"1,000,000,000+"
Sports,3.5,50179,Everyone,2019-09-06,0.0,23M,2.5.7.1,5.0 and up,"1,000,000+"
Photography,4.3,1955,Everyone,2019-06-20,0.0,,,,"100,000+"
Game Word,4.44,10385,Everyone,2020-03-03,0.0,42M,1.0.71,3.0 and up,"1,000,000+"
Game Trivia,4.53,122,Everyone,2020-01-22,111.1242,,,,"1,000+"
Business,4.83,198,Everyone,2020-05-01,0.0,3.6M,1.3,4.1 and up,"1,000+"
